Relay URL,Latitude,Longitude
testr.nymble.world,40.8054,-74.0241
relay.mccormick.cx,52.3563,4.95714
treuzkas.branruz.com,48.8575,2.35138
nostr-dev.wellorder.net,45.5201,-122.99
nostr2.girino.org,43.6532,-79.3832
relay.ditto.pub,43.6532,-79.3832
relay.getsafebox.app,43.6532,-79.3832
intl-rocks-microphone-did.trycloudflare.com,43.6532,-79.3832
strfry.bonsai.com,39.0438,-77.4874
nostr.computingcache.com,34.0356,-118.442
nostr-kyomu-haskell.onrender.com,37.7775,-122.397
nostr-relay.zimage.com,34.0549,-118.243
relay.openfarmtools.org,60.1699,24.9384
nostr-relay.corb.net,38.8353,-104.822
nostr.blankfors.se,60.1699,24.9384
inbox.scuba323.com,40.8218,-74.45
relayone.geektank.ai,39.1008,-94.5811
relay2.angor.io,48.1046,11.6002
relay.klabo.world,47.2343,-119.853
nostr.islandarea.net,35.4669,-97.6473
nostr-relay.cbrx.io,43.6532,-79.3832
relay.gorrdy.cz,43.6532,-79.3832
nostr.tadryanom.me,43.6532,-79.3832
relay.mostro.network,40.8302,-74.1299
relay.bullishbounty.com,43.6532,-79.3832
wot.dergigi.com,64.1476,-21.9392
relay01.lnfi.network,35.6764,139.65
nostr.twinkle.lol,51.902,7.6657
nostr.snowbla.de,60.1699,24.9384
relay.bnos.space,43.6532,-79.3832
bridge.tagomago.me,42.3601,-71.0589
relay.mulatta.io,37.5665,126.978
nostr-relay-1.trustlessenterprise.com,43.6532,-79.3832
relay.nostrian-conquest.com,41.223,-111.974
testnet-relay.samt.st,40.8302,-74.1299
nostr.openhoofd.nl,51.5717,3.70417
relay.jbnco.co,43.6532,-79.3832
srtrelay.c-stellar.net,43.6532,-79.3832
relay.libernet.app,43.6532,-79.3832
relay.paulstephenborile.com,49.4543,11.0746
strfry.ymir.cloud,43.6532,-79.3832
spookstr2.nostr1.com,40.7057,-74.0136
relay.mwaters.net,50.9871,2.12554
relay.staging.hostr.network,41.2619,-95.8608
relay.mrmave.work,43.6532,-79.3832
relay.typedcypher.com,51.5072,-0.127586
premium.primal.net,43.6532,-79.3832
